isc,Voc,FF,PCE,i_Rrad_MPP,i_Rsrh_MPP,i_Raug_MPP,i_RII_MPP,i_RIII_MPP,i_Rrad_OC,i_Rsrh_OC,i_Raug_OC,i_RII_OC,i_RIII_OC,i_Rrad_SC,i_Rsrh_SC,i_Raug_SC,i_RII_SC,i_RIII_SC
273.199,0.995541792149087,0.637202519421626,17.33069925,8.302078,0.06793206,0.05984984,8.017562,0.0001614447,112.498768,0.277728348,2.5525724,157.874932,0.0021909696,112.498768,0.277728348,2.5525724,157.874932,0.0021909696
162.6482,0.776065261860256,0.308042332089676,3.88828337148,0.00292932058,0.00327116352,0.00148892642,0.00300567756000001,69.8977698,0.0235179896,0.0070537816,0.0285587088,29.2468492,134.471296,0.0235179896,0.0070537816,0.0285587088,29.2468492,134.471296
169.2984,0.663261559472806,0.79571982898454,8.935068,3.441197e-06,8.321293e-07,8.815171e-05,0.0001653703,20.38031,1.275737416e-05,3.06524792e-06,0.000948217288,0.000676574304,168.1045,1.275737416e-05,3.06524792e-06,0.000948217288,0.000676574304,168.1045
167.9359,0.901168637561104,0.745420105609236,11.281081,0.2950105,0.002596983,1.704378,4.75305300000002,0.02258569,0.773728244,0.005477055,7.77554044,159.157516,0.0581348176,0.773728244,0.005477055,7.77554044,159.157516,0.0581348176
147.6977,0.854735422470605,0.471505402243549,5.9524,4.774299,0.0002852259,0.00786955,0.275783,23.98215,12.545048,0.00074933834,0.03879292,80.574544,54.930006,12.545048,0.00074933834,0.03879292,80.574544,54.930006
297.1822,0.96014770738061,0.719468392231062,20.5292253436,4.19700384,0.0111833736,0.0186895748,12.12312776,0.00143250632,12.24085,0.019219732,0.20975618,283.5817,0.707317919999999,12.24085,0.019219732,0.20975618,283.5817,0.707317919999999
159.6988,0.500940572278126,0.757077707181178,6.056592,0.0603804200000002,0.0664952500000002,8.16299400000008,0.0001753747,0.000126346700000001,0.445945606,0.490310531,159.313561,0.00104754234,0.00292302131,0.445945606,0.490310531,159.313561,0.00104754234,0.00292302131
307.1994,1.01354580622404,0.526941563947849,16.4068875,0.9274977,0.01548493,0.9439698,62.26234,0.0005944307,2.5159226,0.0296337204,4.26462068,233.868848,67.6998624000001,2.5159226,0.0296337204,4.26462068,233.868848,67.6998624000001
150.6328,0.833576571080924,0.210362950984384,2.641400788,243.817225,10.302163,0.297321945,0.353516515,0.196318685,294.245144,10.6516672,0.392492232,23.8446864,0.238276792,294.245144,10.6516672,0.392492232,23.8446864,0.238276792
157.7324,1.14209350998244,0.778326562355456,14.02117556,0.59222922,0.00048976824,1.3258514,0.715905119999997,12.024822,1.77691728,0.00142528396,9.64687408,102.4635376,43.6443576,1.77691728,0.00142528396,9.64687408,102.4635376,43.6443576
168.7049,0.833908240916962,0.634266883500133,8.923146,0.03927162,4.032833e-06,8.690458e-07,0.01574772,19.93093,0.173726984,1.76878532e-05,4.07136028e-05,44.6128612,124.069128,0.173726984,1.76878532e-05,4.07136028e-05,44.6128612,124.069128
229.2208,1.1919420476258,0.540016648822092,14.754222,1.966758,0.00534046,0.0001100733,0.00469965400000002,16.47138,16.7812736,0.0102747772,0.00195449804,62.8048552,149.627228,16.7812736,0.0102747772,0.00195449804,62.8048552,149.627228
131.4522,0.708987915803373,0.412625967860757,3.8455923744,0.00167840724,2.22677492e-05,4.28229196e-05,0.000421098176,20.95230648,0.00480446772,6.19986744e-05,0.001013886,10.13282152,121.326356,0.00480446772,6.19986744e-05,0.001013886,10.13282152,121.326356
